subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
11,0.013414929,0.074402374,0.157093952,-0.019630046,0.056320302,0.125287111,0.613789043,0.388507833,0.154296611,0.050351613,0.078190652,0.218309564,0.147589146,0.013150425,-0.000356324,0.228124587,0.161004075,0.087552799,0.156737628,0.208494542,0.08525444,0.027386164,0.043908651,0.068731953,0.317741703,0.296047341,0.248556875,0.365232172,0.147232822,0.241275015,0.160739571,0.227768263,0.116243631,0.134330588,0.102324112,0.148250108,
12,-0.017322918,-0.038623689,0.071310343,-0.071318358,-0.013988656,0.138353471,0.525436574,0.581391196,0.588566037,-0.045455671,0.07956875,-0.069265234,0.597227496,-0.026143826,0.04391358,-0.033606055,0.579904578,-0.064767515,0.115223922,-0.104924413,0.026993712,-0.054971023,-0.027973303,-4.01E-06,0.6951285,-0.169691928,0.515137063,0.010299509,0.641141075,-0.059749881,0.57108367,0.010307525,0.334067394,-0.057360452,0.271555184,0.005151758,
13,-0.044830146,0.084671237,0.05375227,-0.048997992,0.011148842,0.080216544,0.343163863,0.298568493,-0.02808658,0.147935087,0.12969198,0.07132569,-0.005671506,0.105599469,0.102815844,0.095824685,-0.050501652,0.190270706,0.156568114,0.046826694,0.004461062,0.017836623,0.019920545,0.002377139,0.106066462,0.2370974,0.139769053,0.203394809,0.097144338,0.201424154,0.099927961,0.19864053,0.0508027,0.109630388,0.059924254,0.100508835,
14,-0.004577618,0.058483383,-0.041544349,-0.124689333,-0.028081979,-0.103795512,-0.471346008,-0.359018091,0.093578702,-0.088657409,-0.069564984,-0.350538359,0.095867511,-0.1178991,-0.048792809,-0.288193693,0.091289893,-0.059415716,-0.090337158,-0.412883026,-0.023060983,-0.033102975,0.026952883,-0.083116841,0.000952734,-0.472298744,0.031874177,-0.503220184,0.047074701,-0.406092793,-0.022031589,-0.336986503,0.012006859,-0.219597884,0.002460647,-0.210051672,
15,-0.09420922,0.054969082,0.002338168,0.020611944,-0.004072507,-0.046909088,-0.195781367,-0.179491341,0.197365124,-0.334009877,-0.110133925,0.059142326,0.244469734,-0.361494419,-0.111303008,0.048836353,0.150260514,-0.306525337,-0.108964841,0.069448298,-0.045935526,0.037790513,-0.019620069,0.011475056,0.041295672,-0.23707704,-0.156264823,-0.039516543,0.133166725,-0.312658066,-0.117024685,-0.062466656,0.043615599,-0.137433776,-0.068322377,-0.0254958,
16,0.011230855,0.036716671,-0.008632757,-0.045907309,-0.001648135,0.158501677,0.630710436,0.637302976,0.234765704,0.158498411,0.129319642,0.11142295,0.229150276,0.140140075,0.133636021,0.134376605,0.240381131,0.176856745,0.125003264,0.088469296,0.001299049,-0.004595319,0.023973763,-0.027270033,0.365384396,0.265326041,0.417237874,0.21347256,0.362786297,0.274516681,0.369290352,0.268012626,0.182042673,0.13496068,0.196632056,0.120371296,
17,0.019490299,0.020484008,-0.059897285,-0.057859923,-0.019445725,0.031293081,0.086280875,0.164063776,0.301351725,0.10376825,-0.052159325,-0.227788323,0.291606574,0.093526245,-0.022210683,-0.198858361,0.311096873,0.114010253,-0.082107968,-0.256718284,-0.020203493,-0.018687958,0.019987154,-0.058878604,0.228988905,-0.142708031,0.425107125,-0.338826252,0.26939589,-0.105332114,0.385132819,-0.221069044,0.124596198,-0.062010037,0.202559987,-0.139973824,
18,0.07242441,0.04814601,-0.088254297,-0.069284848,-0.009242181,-0.02336309,-0.111936721,-0.074967996,0.109738642,-0.036125255,-0.090995468,-0.076070277,0.073526437,-0.06019826,-0.046868319,-0.041427854,0.145950847,-0.01205225,-0.135122617,-0.110712702,-0.007914944,-0.010569419,0.06028521,-0.078769572,0.01082823,-0.122764952,0.133898597,-0.245835318,0.026658117,-0.101626114,0.013328177,-0.088296173,0.009371587,-0.056097766,0.036806693,-0.083532873,
19,0.061831548,0.090869975,0.005443705,-0.118461963,0.009920816,0.055486044,0.241785812,0.202102547,0.235990395,0.015249146,0.015962752,-0.045258115,0.205074622,-0.030185841,0.0132409,0.013972866,0.26690617,0.060684134,0.018684605,-0.104489097,0.033637627,-0.013795994,0.076350761,-0.056509129,0.285590774,-0.043804963,0.327590304,-0.085804492,0.218315522,-0.016212976,0.17488878,0.027213767,0.125976574,-0.015004485,0.125619771,-0.014647681,
20,0.045938255,0.068696018,0.072451312,0.020478427,0.051891003,0.100237398,0.504731596,0.297167584,0.18131609,-0.035664559,0.208756815,0.046541248,0.158346962,-0.070012569,0.172531158,0.036302034,0.204285217,-0.001316551,0.24498247,0.056780461,0.059194783,0.044587223,0.057317137,0.046464869,0.449267686,0.055463911,0.202968665,0.301762931,0.330878121,-0.033710535,0.088334395,0.208833193,0.195036452,0.005438344,0.072825765,0.127649031,
21,0.071453132,0.113236962,-0.171193669,-0.015651705,-0.00053882,0.165227428,0.659832071,0.661987353,0.292163361,0.22717816,0.128004872,0.01356332,0.256436795,0.170559678,0.213601707,0.021389173,0.327889927,0.28379664,0.042408037,0.005737467,-0.049870269,0.048792629,0.092345047,-0.093422688,0.370297964,0.289534108,0.611686565,0.048145504,0.470038502,0.191948851,0.426996474,0.234990879,0.210084117,0.12037074,0.259670761,0.070784096,
22,0.0119719,0.023368069,0.11322576,0.096877521,0.061360813,0.180172493,0.843411598,0.597968346,0.374026785,0.113746709,0.146565647,0.086350829,0.368040836,0.102062675,0.089952768,0.037912069,0.380012736,0.125430744,0.203178527,0.13478959,0.06259883,0.060122795,0.017669985,0.105051641,0.583191263,0.260220333,0.505443482,0.337968118,0.457993604,0.139974743,0.470103512,0.127864836,0.260296216,0.100048769,0.243886749,0.116458239,
23,0.050218373,-0.02613982,0.048317038,-8.07E-06,0.018096882,-0.053637576,-0.178356539,-0.250744065,-0.154903306,-0.121594712,0.156765978,-0.094818263,-0.180012493,-0.108524802,0.132607459,-0.09481423,-0.129794119,-0.134664622,0.180924497,-0.094822296,0.049267706,-0.013073943,0.012039277,0.024154486,0.051130378,-0.229486917,-0.26445874,0.086102202,-0.047405033,-0.203339032,-0.288537296,0.037793229,0.000931336,-0.108206487,-0.138249009,0.030973858,
24,0.021673176,0.03303956,-0.072105161,-0.068859973,-0.0215631,-0.013621257,-0.097611228,-0.01135883,0.159039495,0.165104116,-0.214690042,-0.1639386,0.148202908,0.148584336,-0.178637461,-0.129508613,0.169876084,0.181623896,-0.250742622,-0.198368586,-0.025215993,-0.017910206,0.027356368,-0.070482567,-0.080866538,-0.01674469,0.35149998,-0.449111208,-0.030434552,0.019075723,0.296787244,-0.308146075,-0.027825273,0.000582758,0.162071806,-0.189314321,
25,0.136909954,0.145663034,0.001739789,0.02864531,0.078239522,0.013624184,0.210975779,-0.101982309,0.144293525,0.207242641,-0.113269405,-0.183770028,0.075838549,0.134411124,-0.114139299,-0.198092682,0.212748502,0.280074158,-0.11239951,-0.169447372,0.069324871,0.087154173,0.141286495,0.01519255,0.100348992,0.110626787,0.492822659,-0.281846882,-0.038300751,-0.063681559,0.210249672,-0.312231982,0.015512061,0.011736307,0.175768083,-0.148519716,
26,-0.085438887,0.027343321,0.03339273,0.002711021,-0.005497954,0.080474172,0.310900782,0.332892596,0.087807911,0.070895725,-0.090470061,0.253663114,0.130527354,0.057224065,-0.107166425,0.252307603,0.045088467,0.084567386,-0.073773695,0.255018624,-0.026023079,0.015027171,-0.029047783,0.018051876,-0.028685229,0.339586011,0.129655853,0.181244929,0.02336093,0.309531667,0.18775142,0.145141178,-0.001331075,0.16227942,0.079351818,0.081596527,
27,0.075981336,-0.008796543,0.146092863,0.103626805,0.079226115,0.184945069,0.898232506,0.581328043,0.118178106,0.269019142,0.256230023,0.096353003,0.080187437,0.273417414,0.183183593,0.044539601,0.156168773,0.264620871,0.329276455,0.148166406,0.111037099,0.047415131,0.033592396,0.124859834,0.485445228,0.412787277,0.420789644,0.477442861,0.26337103,0.317957016,0.353604851,0.227723193,0.187204064,0.182686073,0.193598624,0.176291514,
28,0.087709988,0.004426067,-0.037670407,-0.042933611,0.00288301,0.029349432,0.123163749,0.111631711,0.025899477,0.010324409,0.061087176,0.020086668,-0.017955517,0.008111375,0.07992238,0.041553473,0.069754471,0.012537443,0.042251973,-0.001380138,0.025019791,-0.019253772,0.046068028,-0.040302008,0.112006444,0.011157304,0.082291913,0.040871836,0.061966861,0.049664848,-0.009844142,0.121475852,0.043493327,0.015205538,0.018111943,0.040586921,
29,0.023205874,0.066187635,0.052341245,0.069692442,0.052856799,0.034763119,0.244766071,0.033338876,0.023937906,-0.133836612,0.053428725,0.195522455,0.012334969,-0.16693043,0.027258103,0.160676234,0.035540843,-0.100742795,0.079599348,0.230368676,0.03777356,0.067940038,0.044696755,0.061016843,0.115140191,0.129625882,-0.065201952,0.309968024,0.039593071,-0.006254195,-0.154595461,0.187934337,0.038683316,0.030842921,-0.054949353,0.12447559,
30,0.008471082,0.04212736,0.004888214,-0.004938497,0.01263704,0.01305229,0.077483242,0.026935081,0.237259266,-0.04950425,-0.071652389,-0.063893465,0.233023725,-0.070567931,-0.074096496,-0.061424216,0.241494807,-0.02844057,-0.069208282,-0.066362714,0.006679649,0.018594431,0.025299221,-2.51E-05,0.172286525,-0.094803283,0.213054237,-0.135570996,0.158927228,-0.131992146,0.162455794,-0.135520712,0.082803438,-0.056698858,0.093877507,-0.067772927,
31,-0.069528715,0.081215131,-0.035771952,-0.123247717,-0.036833313,0.07184766,0.213724013,0.361057268,0.356667023,-0.106290628,0.047434677,-0.010420432,0.391431381,-0.146898194,0.065320653,0.051203427,0.321902665,-0.065683063,0.029548701,-0.07204429,-0.052650334,-0.021016293,0.005843208,-0.079509835,0.351451367,-0.137727353,0.256219603,-0.04249559,0.456752035,-0.095694766,0.244533188,0.11652408,0.20205085,-0.05835553,0.125188197,0.018507123,
32,0.08090592,0.057729826,-0.056574668,-0.063028067,0.004758253,0.18470384,0.748331862,0.729298849,0.300633017,0.060489187,0.120934097,0.256759053,0.260180057,0.031624274,0.149221431,0.288273088,0.341085977,0.089354101,0.092646763,0.225245021,0.012165626,-0.00264912,0.069317873,-0.059801367,0.43373274,0.314599122,0.430440079,0.317891784,0.409401487,0.319897361,0.29180433,0.437494518,0.210783556,0.158624121,0.180561102,0.188846575,
