subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
24,0.015054356,0.020485159,-0.014133862,-0.007984118,0.003355384,-0.020178718,-0.074004103,-0.08742564,-0.057857557,0.071480064,-0.086176964,-0.008160416,-0.065384734,0.061237485,-0.079110033,-0.004168357,-0.050330378,0.081722644,-0.093243895,-0.012152475,0.000460247,0.006250521,0.017769758,-0.01105899,-0.143574273,0.069570169,0.031392266,-0.105396371,-0.144494766,0.057069128,-0.004147249,-0.08327839,-0.07201726,0.031659824,0.006811254,-0.04716869,left
25,0.115044637,0.388057233,1.179712916,0.485796079,0.542152716,0.299461523,2.282151523,0.113540653,-0.351701515,0.758062522,0.616921073,0.174564004,-0.409223833,0.564033908,0.027064616,-0.068334036,-0.294179197,0.95209114,1.206777532,0.417462044,0.647378777,0.436926656,0.251550935,0.8327545,0.912598337,1.369553187,0.657911944,1.624239573,-0.382159218,0.495699872,0.154810073,-0.04126942,0.13260978,0.466313262,0.203180505,0.395742538,left
26,-0.178377201,-0.095585821,0.421599023,0.346136385,0.123443097,0.421638164,1.933438851,1.439666462,0.407281479,0.566294715,0.232169046,0.480807414,0.49647008,0.614087624,0.021369535,0.307739223,0.318092879,0.518501804,0.442968558,0.653875608,0.121610911,0.125275282,-0.136981511,0.383867704,0.761061438,1.172377417,0.836594682,1.096844166,0.517839615,0.921826844,1.110557705,0.329108757,0.319725262,0.523551065,0.486788097,0.356488231,left
27,0.143902231,0.078829078,0.436370272,0.596328714,0.313857574,0.926913293,4.335368318,3.079938019,1.222224731,1.369620765,0.602230948,0.51357672,1.15027362,1.330206226,0.384045812,0.215412365,1.294175851,1.409035304,0.820416084,0.811741078,0.290136252,0.337578896,0.111365654,0.516349492,2.114591931,2.220776388,2.703211148,1.632157169,1.53431943,1.545618589,2.480479838,0.599458179,0.912227844,0.941598746,1.295922747,0.557903834,left
28,0.002560175,-0.09847159,0.332257377,0.011311797,0.06191444,0.233806,1.059052876,0.811395123,0.173220608,0.414552977,0.242683652,0.104766766,0.171940521,0.463788772,0.076554963,0.099110867,0.174500695,0.365317182,0.408812341,0.110422664,0.167408776,-0.043579897,-0.047955708,0.171784587,0.583313037,0.475739843,0.539817878,0.519235005,0.248495483,0.562899637,0.635729294,0.17566583,0.20795213,0.259659871,0.293886792,0.173725209,left
29,0.081563881,0.166857761,0.140723508,0.164018026,0.138290793,0.427447018,1.986369655,1.43320648,0.583305486,0.455132167,0.194215743,0.477134676,0.542523546,0.371703285,0.123853989,0.395125663,0.624087427,0.538561047,0.264577497,0.559143689,0.111143694,0.165437894,0.124210821,0.152370766,0.888664925,1.09770474,1.162648473,0.823721186,0.666377532,0.766828948,0.914226835,0.518979653,0.388760614,0.46613342,0.519218826,0.33567521,left
30,-0.080269395,0.022458845,0.035354021,-0.0412397,-0.015924057,0.900361411,3.569597528,3.633293768,1.307788923,1.364080366,0.135503521,0.794072836,1.347923619,1.35285095,0.11782651,0.814692685,1.267654223,1.375309795,0.153180531,0.773452985,-0.022457687,-0.009390427,-0.028905275,-0.002942839,1.420834755,2.148762786,2.642964027,0.926633516,1.465750128,2.167543636,2.70077457,0.932519192,0.721646222,1.079076603,1.335934646,0.464788179,left
31,-0.051879227,0.089700666,0.452891216,0.016927679,0.126910084,0.178224345,0.966717551,0.459077214,0.369540755,-0.45105379,0.430913489,0.363496927,0.39548037,-0.495904124,0.20446788,0.355033088,0.343601142,-0.406203458,0.657359097,0.371960767,0.200505995,0.053314172,0.018910719,0.234909448,1.000960241,-0.03424269,-0.062602316,1.029319865,0.599948249,-0.140871036,-0.100423754,0.55950097,0.400227122,-0.043778431,-0.040756517,0.397205208,left
32,0.029286227,-0.015658141,-0.007153454,-0.05245638,-0.011495437,0.006637088,0.003557479,0.049539227,-0.081096535,-0.018855464,-0.088653787,0.215154138,-0.095739648,-0.011026393,-0.08507706,0.241382329,-0.066453422,-0.026684534,-0.092230514,0.188925949,0.011066386,-0.03405726,0.006814043,-0.029804917,-0.158683936,0.162241415,-0.093137956,0.096695435,-0.180816709,0.230355936,-0.106766042,0.156305268,-0.084875161,0.098149338,-0.049975999,0.063250176,left
1,-0.009489725,0.093848249,0.473862238,0.697692438,0.313978299,0.526651929,2.734564319,1.478651121,0.311989536,1.039819463,0.530680907,0.224117811,0.316734401,0.992895338,0.293749789,-0.124728408,0.307244676,1.086743587,0.767612028,0.57296403,0.232186257,0.395770343,0.042179262,0.58577734,1.074856702,1.659707614,1.39398826,1.340576056,0.610484191,0.868166931,1.309629738,0.169021381,0.421335224,0.631968637,0.675904497,0.377399359,right
2,-0.001236292,0.070791261,0.676387507,0.355632222,0.275393674,0.42928719,2.267936111,1.166361412,0.280175131,1.110002815,0.199088994,0.127881826,0.280793277,1.074607182,-0.139104759,-0.049934285,0.279556986,1.145398442,0.537282748,0.305697937,0.337575607,0.213211742,0.034777484,0.516009864,0.816839734,1.45109638,1.424955424,0.842980686,0.141688519,1.024672895,1.355400459,-0.189039043,0.239632063,0.618942319,0.695088972,0.16348541,right
3,-0.108676125,0.244296805,0.141285046,0.238951304,0.128964257,0.744397327,3.235517829,2.71966079,0.488578669,1.764228664,0.373277493,0.351504492,0.542916732,1.642080255,0.302634968,0.232028841,0.434240607,1.88637706,0.443920015,0.470980145,0.016304461,0.241624054,0.06781034,0.190118176,0.878160619,2.357357208,2.320617663,0.914900156,0.845551698,1.87410909,2.184996988,0.53466381,0.43092808,1.057866576,1.126403662,0.362390994,right
4,0.140845971,0.029176281,0.449312751,0.267232806,0.221641952,0.484191432,2.380049633,1.493481824,0.488272993,0.884921354,0.462593215,0.100978163,0.417850009,0.870333216,0.237936841,-0.03263824,0.558695979,0.899509497,0.68724959,0.234594566,0.29507936,0.148204543,0.085011126,0.358272777,1.245945571,1.134104061,1.458205477,0.921844155,0.655786849,0.837694975,1.288183225,0.2052986,0.475433104,0.492949759,0.686597173,0.28178569,right
5,0.222166831,0.352952245,1.000611272,0.241558121,0.454322117,0.428011064,2.620688485,0.803400026,0.141610067,0.848572085,0.652898771,0.068963344,0.030526651,0.672095959,0.152593132,-0.051815717,0.252693482,1.025048204,1.153204406,0.189742405,0.611389051,0.297255183,0.287559538,0.621084698,1.405897886,1.21479061,1.277741682,1.342946812,0.183119783,0.620280241,0.70262261,0.100777414,0.397254419,0.458767714,0.495091073,0.360931056,right
6,-0.034385188,-0.023989874,0.374161153,0.27755243,0.14833463,0.702026764,3.104776314,2.51143779,0.947668533,1.483570883,0.40623816,-0.029370529,0.964861131,1.495565821,0.219157583,-0.168146744,0.930475943,1.471575947,0.593318736,0.109405686,0.169887982,0.126781278,-0.029187531,0.325856792,1.523794681,1.580981635,2.402051889,0.702724421,1.184018715,1.327419077,2.460426956,0.05101084,0.676953347,0.727100177,1.215619715,0.188433815,right
7,-0.231663151,0.015652187,0.361379864,0.294765569,0.110033617,0.56901027,2.496108321,2.055973849,0.922869685,0.845291149,0.194338925,0.313541325,1.038701262,0.837465054,0.013648994,0.16615854,0.807038111,0.853117241,0.375028856,0.460924109,0.064858356,0.155208878,-0.108005482,0.328072715,1.182066967,1.31404135,1.660155349,0.835952966,1.052350256,1.003623594,1.876166318,0.179807534,0.558604306,0.579416236,0.884080416,0.253940125,right
8,-0.05140668,0.165237006,0.422951718,0.218775596,0.18888941,0.247802855,1.36899024,0.6134326,0.143033222,0.733880384,0.185139434,-0.070841621,0.168736562,0.651261883,-0.026336426,-0.180229419,0.117329882,0.816498889,0.396615293,0.038546177,0.18577252,0.192006301,0.056915163,0.320863658,0.513945175,0.855045065,0.933828771,0.435161471,0.142400136,0.471032466,0.819998446,-0.206565845,0.164086328,0.331519383,0.438456804,0.057148907,right
9,0.000740038,0.210173949,0.705942058,0.6357703,0.388156586,0.603282712,3.189444024,1.636817682,0.387404908,0.837769382,0.627872899,0.560083662,0.38703489,0.732682407,0.274901871,0.242198512,0.387774928,0.942856355,0.980843928,0.877968812,0.353341047,0.422972125,0.105456993,0.670856178,1.368618853,1.820825169,1.330631288,1.858812737,0.661936761,0.974880917,1.119717298,0.517100384,0.507638906,0.698926522,0.612587147,0.593978281,right
10,0.099434911,-0.01855302,0.806654865,0.780529295,0.417016512,0.217889571,1.705591305,0.037525263,-0.108420674,0.586698249,0.18520599,0.208074725,-0.158138129,0.595974757,-0.218121443,-0.182189922,-0.058703218,0.577421736,0.588533422,0.598339371,0.453044887,0.380988137,0.040440945,0.793592076,0.529830203,1.175761106,0.518718518,1.186872793,-0.376259573,0.413784835,0.437836628,-0.400311367,0.038392658,0.397386486,0.239138785,0.196640358,right
11,-0.029768938,0.106355027,0.667851289,0.276407418,0.255211199,0.774630826,3.608945697,2.588100907,0.579056557,1.795601678,0.127227155,0.596637924,0.593941027,1.742424158,-0.20669849,0.458434214,0.564172089,1.848779186,0.461152799,0.734841632,0.319041176,0.191381223,0.038293045,0.472129353,1.025324888,2.583620817,2.41295127,1.195994433,0.387242537,2.200858373,2.336365183,0.251735723,0.353141857,1.196119798,1.187329114,0.361932538,right
12,0.051889754,0.01973637,0.555917306,0.12025528,0.186949677,0.551085627,2.578241865,1.830443154,0.695468437,0.823576861,0.467199152,0.21809806,0.66952356,0.813708677,0.189240498,0.157970421,0.721413314,0.833445048,0.745157803,0.2782257,0.30390353,0.069995825,0.035813062,0.338086292,1.466571116,1.111670747,1.554858361,1.023383502,0.858764057,0.971679099,1.483232236,0.34721092,0.581333794,0.520837463,0.759522649,0.342648605,right
13,0.07739151,0.157327853,0.245400223,0.084899099,0.141254671,0.631870599,2.809991734,2.244973061,0.408089606,1.267345957,0.417756601,0.43429023,0.369393851,1.188682032,0.295056491,0.39184068,0.446785361,1.346009885,0.540456713,0.47673978,0.161395866,0.121113476,0.117359682,0.165149661,0.987242072,1.82274966,1.79279525,1.01719649,0.664450343,1.580522715,1.558075876,0.68689717,0.412923103,0.850818094,0.837717784,0.426023417,right
14,-0.003876597,0.108182464,0.638648845,0.693843675,0.359199597,0.77548657,3.820345469,2.383547089,0.543396383,1.761361028,0.515230605,0.281958267,0.545334681,1.707269794,0.195906184,-0.064963571,0.541458084,1.815452258,0.834555027,0.628880105,0.317386122,0.401013069,0.052152933,0.66624626,1.376013114,2.444332366,2.356910337,1.463435134,0.741240865,1.642306225,2.252604482,0.130942613,0.529313494,1.021659648,1.152378707,0.398594436,right
15,-0.249970636,0.232112675,0.172974153,0.225180134,0.095074081,0.750231244,3.191073144,2.810776833,1.239057147,1.025140442,0.09279681,0.643930577,1.364042468,0.909084107,0.006309733,0.531340514,1.114071832,1.141196782,0.179283887,0.756520647,-0.038498242,0.228646405,-0.008928981,0.199077144,1.293355719,1.897717435,2.255268613,0.935804534,1.3703522,1.440424624,2.273126586,0.537650247,0.66592698,0.834535514,1.132098798,0.368363695,right
