subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36,hemisphere
4,-0.067663987,0.021731544,0.090067642,0.010071789,0.013551747,0.360451801,1.468910696,1.4147037,0.846668656,0.643315158,0.104604253,-0.152780868,0.880500648,0.632449387,0.059570431,-0.157816762,0.812836661,0.654180931,0.149638073,-0.147744974,0.011201827,0.015901666,-0.022966221,0.050069715,0.962474733,0.506435956,1.467017591,0.001893099,0.940071078,0.474632624,1.512950034,-0.098246331,0.475636455,0.245267145,0.744991906,-0.024088308,left
5,-0.10109231,0.088500094,-0.094213417,0.03346488,-0.018335188,0.167630031,0.633849749,0.707190502,0.850255501,0.178750951,0.003199899,-0.361686228,0.900801657,0.134500903,0.050306608,-0.378418668,0.799709347,0.223000997,-0.043906809,-0.344953788,-0.097652863,0.060982487,-0.006296108,-0.030374269,0.75580254,-0.12195279,1.022710346,-0.388860598,0.951108268,-0.243917764,1.035302561,-0.328112058,0.4267277,-0.091467639,0.514503226,-0.179243164,left
6,-0.130178843,-0.059975968,-0.00930008,-0.030743566,-0.057549614,0.366521818,1.350988046,1.581186504,0.556928253,0.793090496,0.206726584,-0.090658059,0.622017676,0.823078479,0.211376625,-0.075286277,0.491838832,0.763102511,0.202076545,-0.106029842,-0.069739462,-0.045359767,-0.095077406,-0.020021823,0.69391538,0.657072669,1.254941342,0.096046703,0.833394303,0.747792204,1.445096156,0.136090349,0.38182742,0.351216217,0.675009376,0.058034263,left
7,-0.095271351,-0.123086179,0.019045272,0.005645266,-0.048416748,0.077224325,0.212063806,0.405730797,0.109790317,0.291016293,-0.116149878,0.024240569,0.157425993,0.352559382,-0.125672514,0.021417935,0.062154642,0.229473203,-0.106627242,0.027063201,-0.038113039,-0.058720456,-0.109178765,0.012345269,-0.0444726,0.256536405,0.291627844,-0.07956404,0.03175348,0.373977317,0.509985373,-0.104254579,-0.00317978,0.15762843,0.200403305,-0.045954655,left
8,-0.12333457,-0.143103886,0.095728577,0.032552933,-0.034539237,0.386837319,1.478270802,1.616427751,0.485347751,0.855216801,0.138784054,0.06800067,0.547015037,0.926768745,0.090919766,0.051724204,0.423680467,0.783664858,0.186648343,0.084277137,-0.013802997,-0.055275477,-0.133219228,0.064140755,0.61032881,0.867941995,1.207345322,0.270925481,0.6379348,0.978492948,1.473783782,0.142643971,0.312065903,0.461608736,0.670282278,0.103392362,left
9,-0.079327813,0.010662301,-0.039043684,0.009941859,-0.024441834,0.302423566,1.160810591,1.258577934,0.179010803,0.736598439,0.009280183,0.284804839,0.21867471,0.731267286,0.028802025,0.27983391,0.139346897,0.741929588,-0.010241659,0.289775769,-0.059185748,0.01030208,-0.034332756,-0.014550912,0.129105238,1.031705357,0.881276487,0.279534109,0.247476734,1.011101198,0.949941995,0.308635935,0.094145493,0.51070164,0.45780462,0.147042511,left
10,-0.183863155,0.013016055,-0.014573324,0.044915015,-0.035126352,0.754808995,2.948983269,3.089488684,1.229083411,1.311766325,0.022258056,0.456128186,1.321014989,1.305258297,0.029544719,0.433670678,1.137151834,1.318274352,0.014971395,0.478585694,-0.09921824,0.028965535,-0.08542355,0.015170846,1.152123229,1.79686004,2.455426192,0.493557088,1.35055971,1.738928972,2.626273288,0.463215398,0.625670733,0.883947256,1.270424868,0.239193121,left
11,-0.167475981,0.004578211,-0.173854615,-0.119168997,-0.113980346,0.310458173,1.013871998,1.469793381,0.432573939,0.875170128,-0.153389092,0.087477713,0.516311929,0.872881024,-0.066461784,0.147062212,0.348835948,0.877459235,-0.240316399,0.027893215,-0.170665298,-0.057295393,-0.081448885,-0.146511806,0.10851955,0.905352449,1.226295183,-0.212423184,0.449850145,1.019943235,1.38919295,0.080600428,0.139592423,0.481323923,0.653872035,-0.032955689,left
12,-0.041332054,-0.016073488,-0.019398264,-0.03173906,-0.027135716,0.333747589,1.280718925,1.389261789,0.657590327,0.423164828,0.131239759,0.122995446,0.678256354,0.431201571,0.14093889,0.138864976,0.6369243,0.415128083,0.121540626,0.107125916,-0.030365159,-0.023906274,-0.028702771,-0.025568662,0.758464927,0.522254,1.052052386,0.228666542,0.819195245,0.570066546,1.109457926,0.279803866,0.394415042,0.273080138,0.540377576,0.127117602,left
13,-0.07275426,0.043890297,-0.028918733,-0.058181674,-0.028991093,0.324187387,1.238767368,1.354731737,0.241920821,0.659374909,0.23745559,0.157998231,0.278297951,0.637429759,0.251914957,0.187089069,0.205543691,0.681320056,0.222996224,0.128907395,-0.050836497,-0.007145689,-0.014431982,-0.043550204,0.428539915,0.81022745,0.886863747,0.351903618,0.530212909,0.824518828,0.915727708,0.439004027,0.239688205,0.408686571,0.450647864,0.197726911,left
14,-0.140319812,-0.031296191,-0.007859167,-0.006342237,-0.046454352,0.250341285,0.908456435,1.094273845,0.065200289,0.976226991,-0.079854071,0.039791928,0.135360196,0.99187509,-0.075924488,0.042963046,-0.004959616,0.960578899,-0.083783655,0.03662081,-0.07408949,-0.018819214,-0.085808002,-0.007100702,-0.088743271,0.997199706,0.955619279,-0.047162845,0.059435708,1.034838136,1.127235286,-0.032961442,-0.007326891,0.508009461,0.52071364,-0.020031072,left
15,-0.19886428,0.125082229,-0.088339925,-0.054574364,-0.054174085,0.335433875,1.233387334,1.450083682,0.615517337,0.642037098,-0.25145356,0.335634631,0.714949477,0.579495984,-0.207283598,0.362921813,0.516085196,0.704578213,-0.295623523,0.308347449,-0.143602103,0.035253932,-0.036891026,-0.071457144,0.220461674,1.012925659,1.220663409,0.012723926,0.507665878,0.942417798,1.294445462,0.155638215,0.182031888,0.488835866,0.628777218,0.042090535,left
16,-0.205382404,0.008546552,-0.037671442,-0.013511234,-0.062004632,0.473719994,1.770870714,2.018889244,0.525881311,0.931575781,0.089637237,0.347785656,0.628572512,0.927302502,0.108472958,0.354541271,0.423190108,0.935849054,0.070801516,0.341030037,-0.121526923,-0.002482341,-0.098417926,-0.025591338,0.493991623,1.276879091,1.359039159,0.411831553,0.737045469,1.281843769,1.555875013,0.463014228,0.307759274,0.639680716,0.728728543,0.218711445,left
17,-0.116066296,0.047928856,-0.203492251,-0.168303906,-0.1099834,0.221491195,0.665997977,1.105931581,0.100720444,1.095633086,-0.121135057,-0.189253695,0.158753592,1.071668656,-0.019388931,-0.105101741,0.042687296,1.119597512,-0.222881183,-0.273405648,-0.159779274,-0.060187525,-0.03406872,-0.185898079,-0.180193887,0.846191865,1.162284811,-0.496286832,0.13936466,0.966566916,1.230422246,-0.124490673,-0.010207307,0.453189695,0.598176764,-0.155194375,left
18,-0.071017933,-0.043523719,-0.092424301,0.018054275,-0.047227919,0.294843899,1.084919759,1.27383144,0.313930189,0.597300143,0.106286735,0.161858532,0.349439156,0.619062002,0.152498885,0.152831395,0.278421223,0.575538283,0.060074584,0.17088567,-0.081721117,-0.012734722,-0.057270826,-0.037185013,0.338495809,0.746423953,0.85395951,0.230960254,0.501938041,0.771893394,0.968501158,0.30533028,0.210108462,0.379579338,0.455615166,0.134072634,left
19,-0.055036786,0.023356284,-0.003457709,0.007315776,-0.006955609,0.072317437,0.275358529,0.303180964,0.113105499,0.380882169,-0.091323665,-0.113394256,0.140623892,0.369204027,-0.089594811,-0.117052144,0.085587106,0.392560312,-0.09305252,-0.109736368,-0.029247248,0.01533603,-0.015840251,0.001929033,-0.007465414,0.282823944,0.478147416,-0.202788888,0.051029082,0.252151883,0.50982792,-0.206646955,0.010890917,0.133743957,0.246993835,-0.102358961,left
